Rank,Team,S,W-L,Kills,Errors,Total Attacks,Pct.
251,Mississippi St. (SEC),114,13-17,"1,326",617,"3,917",0.181
252,San Francisco (WCC),108,8-21,"1,311",586,"4,013",0.181
253,Wichita St. (AAC),105,9-19,"1,209",553,"3,633",0.181
254,Davidson (Atlantic 10),105,10-18,"1,225",569,"3,640",0.18
255,Southern Ill. (MVC),134,14-18,"1,626",703,"5,123",0.18
256,Houston (AAC),137,16-16,"1,629",719,"5,078",0.179
257,UNCW (CAA),117,14-15,"1,322",612,"3,969",0.179
258,Tennessee St. (OVC),104,12-17,"1,150",532,"3,455",0.179
259,Georgetown (Big East),122,13-19,"1,402",671,"4,091",0.179
260,USC Upstate (Big South),101,7-19,"1,126",519,"3,412",0.178
261,Northern Ill. (MAC),110,8-22,"1,319",661,"3,700",0.178
262,Ga. Southern (Sun Belt),101,7-20,"1,113",501,"3,445",0.178
263,Rhode Island (Atlantic 10),95,8-18,"1,155",519,"3,584",0.177
264,Tulsa (AAC),115,15-15,"1,493",698,"4,482",0.177
265,Portland St. (Big Sky),111,10-19,"1,226",518,"4,006",0.177
266,Bryant (NEC),113,15-17,"1,442",718,"4,097",0.177
267,Drake (MVC),125,9-22,"1,432",603,"4,704",0.176
268,Cal St. Fullerton (Big West),100,12-15,"1,181",520,"3,753",0.176
269,Presbyterian (Big South),103,15-15,"1,285",622,"3,767",0.176
270,UC Riverside (Big West),101,6-22,"1,263",615,"3,684",0.176
271,North Dakota St. (Summit League),112,13-16,"1,384",676,"4,037",0.175
272,UC Irvine (Big West),105,5-23,"1,206",591,"3,520",0.175
273,Montana (Big Sky),112,7-23,"1,255",607,"3,717",0.174
274,Quinnipiac (MAAC),114,14-16,"1,411",673,"4,257",0.173
275,William & Mary (CAA),97,7-20,"1,081",531,"3,180",0.173
276,Pacific (WCC),120,13-17,"1,545",784,"4,403",0.173
277,Seattle U (WAC),120,13-18,"1,429",725,"4,084",0.172
278,CSU Bakersfield (WAC),114,9-19,"1,361",662,"4,060",0.172
279,Fresno St. (Mountain West),104,14-16,"1,295",662,"3,696",0.171
280,Chattanooga (SoCon),115,7-23,"1,302",626,"3,949",0.171
281,N.C. Central (MEAC),123,8-24,"1,357",650,"4,185",0.169
282,Western Ill. (Summit League),107,6-23,"1,186",576,"3,616",0.169
283,Hampton (Big South),95,8-17,"1,103",560,"3,227",0.168
284,Bethune-Cookman (MEAC),118,8-24,"1,219",561,"3,922",0.168
285,Seton Hall (Big East),114,8-24,"1,258",587,"4,010",0.167
286,Missouri St. (MVC),125,10-22,"1,534",794,"4,431",0.167
287,Belmont (OVC),108,2-29,"1,231",611,"3,734",0.166
288,George Mason (Atlantic 10),97,4-22,"1,096",542,"3,351",0.165
289,Portland (WCC),107,11-18,"1,279",645,"3,835",0.165
290,UNC Greensboro (SoCon),97,10-17,"1,158",582,"3,488",0.165
291,Lamar University (Southland),94,9-17,"1,148",595,"3,349",0.165
292,George Washington (Atlantic 10),100,15-14,"1,160",594,"3,441",0.164
293,Rutgers (Big Ten),105,8-23,"1,153",600,"3,370",0.164
294,Jackson St. (SWAC),126,17-19,"1,478",754,"4,422",0.164
295,Virginia Tech (ACC),121,11-20,"1,384",683,"4,302",0.163
296,Radford (Big South),95,10-16,"1,062",532,"3,265",0.162
297,Idaho St. (Big Sky),115,7-23,"1,288",586,"4,347",0.161
298,Georgia St. (Sun Belt),105,10-17,"1,250",636,"3,803",0.161
299,Col. of Charleston (CAA),102,7-21,"1,200",606,"3,726",0.159
300,Southern Miss. (C-USA),102,3-26,"1,183",573,"3,858",0.158
301,South Dakota St. (Summit League),107,6-22,"1,212",620,"3,745",0.158
302,Holy Cross (Patriot),111,5-25,"1,272",643,"4,008",0.157
303,Valparaiso (MVC),127,14-20,"1,544",760,"5,003",0.157
304,Indiana St. (MVC),103,7-21,"1,195",583,"3,925",0.156
305,The Citadel (SoCon),111,9-20,"1,249",650,"3,851",0.156
306,Providence (Big East),111,6-24,"1,244",657,"3,776",0.155
307,Manhattan (MAAC),115,8-23,"1,184",589,"3,841",0.155
308,Air Force (Mountain West),114,8-22,"1,375",767,"3,991",0.152
309,Auburn (SEC),103,7-22,"1,179",623,"3,656",0.152
310,IUPUI (Horizon),115,7-22,"1,275",663,"4,115",0.149
311,Eastern Ky. (OVC),99,9-21,"1,223",666,"3,851",0.145
312,Ark.-Pine Bluff (SWAC),124,10-24,"1,292",656,"4,404",0.144
313,Florida A&M (MEAC),106,9-18,"1,067",567,"3,463",0.144
314,Eastern Ill. (OVC),106,3-26,"1,134",604,"3,720",0.142
315,Youngstown St. (Horizon),101,8-21,"1,115",596,"3,650",0.142
316,Little Rock (Sun Belt),95,6-22,"1,007",537,"3,356",0.14
317,Eastern Wash. (Big Sky),113,6-24,"1,238",669,"4,083",0.139
318,Chicago St. (WAC),119,5-26,"1,355",743,"4,406",0.139
319,Iona (MAAC),101,5-23,"1,107",600,"3,716",0.136
320,Saint Francis (PA) (NEC),93,3-25,909,510,"2,953",0.135
321,Utah St. (Mountain West),108,2-28,975,527,"3,361",0.133
322,NJIT (ASUN),110,1-31,"1,050",616,"3,496",0.124
323,Saint Peter's (MAAC),109,3-27,"1,049",560,"3,986",0.123
324,Norfolk St. (MEAC),86,2-23,787,456,"2,700",0.123
325,Southern U. (SWAC),108,10-20,"1,041",581,"3,797",0.121
326,Binghamton (America East),74,0-23,697,414,"2,336",0.121
327,Fairleigh Dickinson (NEC),98,4-26,891,493,"3,488",0.114
328,Grambling (SWAC),109,8-24,"1,014",634,"3,620",0.105
329,Gardner-Webb (Big South),84,3-22,791,497,"2,804",0.105
330,Alcorn (SWAC),102,7-23,913,601,"3,161",0.099
331,Mississippi Val. (SWAC),108,4-30,905,708,"3,359",0.059
332,South Carolina St. (MEAC),77,0-25,585,479,"2,115",0.05
